Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54816438	54830737	ENSG00000275288
1	168281040	168314426	ENSG00000143178
14	73237497	73274640	ENSG00000100767
21	30479699	30480344	ENSG00000184351
21	30425265	30425968	ENSG00000240432
21	30371391	30372257	ENSG00000182816
12	27780020	27803040	ENSG00000087448
CHR_HSCHR19_1_CTG2	20776304	20807420	ENSG00000275050
5	14143702	14532128	ENSG00000038382
10	88990582	89015785	ENSG00000026103
6	166858094	166956124	ENSG00000249141
X	52184823	52192268	ENSG00000154545
6	89568144	89638753	ENSG00000083099
11	114570591	114595762	ENSG00000137634
4	56393362	56435615	ENSG00000128059
10	104031286	104085957	ENSG00000065618
3	37861960	37984469	ENSG00000144677
19	22975468	23003176	ENSG00000269067
19	57320509	57330776	ENSG00000178229
20	3732667	3753111	ENSG00000132622
CHR_HSCHR6_MHC_APD_CTG1	32460601	32473766	ENSG00000226127
15	67819704	67834561	ENSG00000188779
19	57154021	57167443	ENSG00000258873
1	151800264	151806154	ENSG00000213171
13	51930436	52012125	ENSG00000123191
19	55158661	55166722	ENSG00000167646
1	109250019	109275750	ENSG00000143126
19	43596392	43601157	ENSG00000124444
11	71527267	71528674	ENSG00000244411
19	40843538	40850447	ENSG00000255974
19	40771648	40796943	ENSG00000268975
1	99969351	100035637	ENSG00000117620
19	1446302	1473244	ENSG00000115266
3	52254421	52288020	ENSG00000164091
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54769705	54783961	ENSG00000275750
16	22479121	22536521	ENSG00000243716
X	119538149	119565408	ENSG00000018610
1	162366908	162386818	ENSG00000239887
9	137618963	137870016	ENSG00000181090
8	7761330	7764340	ENSG00000285607
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54850442	54867200	ENSG00000278442
7	141907813	142106747	ENSG00000257335
4	109848202	109872315	ENSG00000183423
19	43543040	43580473	ENSG00000073050
CHR_HSCHR6_MHC_SSTO_CTG1	30481701	30486439	ENSG00000230254
X	102720688	102753540	ENSG00000198908
6	88047789	88066832	ENSG00000118434
4	56338287	56387508	ENSG00000157426
14	64945814	64973226	ENSG00000139998
14	73058436	73123898	ENSG00000119707
12	111405948	111451623	ENSG00000111252
2	202034587	202038445	ENSG00000155760
20	45416067	45456934	ENSG00000124155
12	74537827	74545430	ENSG00000253719
6	43011143	43016868	ENSG00000124733
1	156061160	156070514	ENSG00000132698
1	1070966	1074307	ENSG00000237330
14	76762189	76783015	ENSG00000071246
5	55851379	55922853	ENSG00000164509
4	119212587	119295517	ENSG00000145390
17	21123364	21193265	ENSG00000109016
9	131373636	131500197	ENSG00000130723
14	39230231	39388513	ENSG00000150527
1	26234200	26278808	ENSG00000130695
11	18278668	18322198	ENSG00000110756
16	69118010	69132584	ENSG00000168802
5	132541444	132556838	ENSG00000113525
1	6221193	6235972	ENSG00000116237
X	153972327	153983195	ENSG00000177854
1	33323623	33431052	ENSG00000134686
16	4354542	4425705	ENSG00000262246
10	103882542	103918205	ENSG00000107960
14	64465499	64474503	ENSG00000179841
6	116571367	116597675	ENSG00000111832
CHR_HSCHR7_2_CTG6	143087345	143088382	ENSG00000273914
17	32142454	32253374	ENSG00000126858
7	149838367	149867479	ENSG00000106479
1	26177403	26189886	ENSG00000142675
1	220148293	220272454	ENSG00000118873
17	29073521	29078857	ENSG00000221995
9	101473171	101533537	ENSG00000165152
X	107774899	107795829	ENSG00000170935
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54864204	54872914	ENSG00000273735
6	28525925	28534952	ENSG00000224586
5	173056352	173139284	ENSG00000164463
1	151281618	151292180	ENSG00000143373
12	10030677	10066027	ENSG00000197992
3	52228610	52239260	ENSG00000247596
2	227614538	227614840	ENSG00000284704
2	68643589	68658247	ENSG00000169618
19	1407569	1435687	ENSG00000071626
1	26410778	26429722	ENSG00000131914
6	79484991	79537458	ENSG00000135338
6	160348268	160452581	ENSG00000146477
17	12665890	12768949	ENSG00000141052
10	103446786	103452402	ENSG00000138172
8	7442684	7463674	ENSG00000164871
12	5432112	5521536	ENSG00000185652
1	151197949	151249536	ENSG00000143398
16	50065941	50106387	ENSG00000155393
14	24213955	24232352	ENSG00000255526
17	39063303	39154394	ENSG00000161381
2	132671799	133568463	ENSG00000176771
7	898778	975599	ENSG00000240230
4	55853616	55905034	ENSG00000090989
10	69123512	69172861	ENSG00000122958
5	173607514	173616660	ENSG00000145919
19	4278601	4290724	ENSG00000105251
19	19623668	19628930	ENSG00000064547
1	25861210	25871253	ENSG00000182749
19	54415219	54436900	ENSG00000167614
16	83908132	83951445	ENSG00000260300
7	30752137	30892081	ENSG00000254959
16	75536744	75556286	ENSG00000205084
16	30530367	30535347	ENSG00000169955
10	122458551	122514908	ENSG00000166033
1	44808482	44815585	ENSG00000222009
10	103367967	103389065	ENSG00000148835
2	21001429	21044073	ENSG00000084674
4	98470367	98658629	ENSG00000168785
2	47789316	47905793	ENSG00000138081
19	42387019	42390287	ENSG00000105427
15	92617443	92809884	ENSG00000185442
CHR_HSCHR6_MHC_MCF_CTG1	30725496	30731566	ENSG00000224120
20	47501902	47656877	ENSG00000124151
19	19515736	19529054	ENSG00000186010
2	200810594	200827338	ENSG00000082153
17	782273	792509	ENSG00000171861
12	51817840	51848766	ENSG00000261308
11	113779747	113780500	ENSG00000228607
5	178184503	178187432	ENSG00000244234
13	28820348	29505947	ENSG00000132938
7	82754013	83162930	ENSG00000186472
2	74549026	74557554	ENSG00000115325
17	68035519	68046842	ENSG00000182481
11	26667019	26723427	ENSG00000148942
12	51887960	51891664	ENSG00000167612
1	208022242	208244320	ENSG00000076356
17	757097	783390	ENSG00000167699
16	68636189	68722616	ENSG00000062038
10	23095506	23122013	ENSG00000148450
17	76376584	76387860	ENSG00000176170
8	42752620	42796392	ENSG00000147434
5	171861549	172006873	ENSG00000072803
11	62771303	62787342	ENSG00000162227
14	31489956	31861224	ENSG00000151413
X	43654907	43746824	ENSG00000189221
X	30827442	30975084	ENSG00000157625
19	42428288	42443048	ENSG00000189377
CHR_HG1832_PATCH	210328252	210679653	ENSG00000280680
CHR_HSCHR19LRC_LRC_T_CTG3_1	54069947	54081380	ENSG00000275123
CHR_HSCHR19LRC_LRC_T_CTG3_1	54957703	54982262	ENSG00000274050
CHR_HSCHR6_MHC_MANN_CTG1	30958848	30971101	ENSG00000285089
CHR_HSCHR19LRC_PGF1_CTG3_1	54102906	54107026	ENSG00000275605
CHR_HSCHR15_4_CTG8	32181324	32319966	ENSG00000274542
CHR_HSCHR19LRC_LRC_I_CTG3_1	54107066	54115801	ENSG00000276263
CHR_HSCHR6_MHC_DBB_CTG1	30904916	30917180	ENSG00000285192
CHR_HSCHR16_1_CTG1	16467435	16482129	ENSG00000277983
12	121888809	121921470	ENSG00000256950
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54833799	54844782	ENSG00000276044
1	77944055	77979110	ENSG00000162613
1	155687960	155739010	ENSG00000132676
12	121400041	121430623	ENSG00000170633
12	121429097	121581015	ENSG00000089094
1	10032832	10181239	ENSG00000130939
14	100537147	100587413	ENSG00000183092
1	9997206	10016020	ENSG00000162444
14	100333788	100376805	ENSG00000140105
1	76074719	76634601	ENSG00000184005
1	155135344	155138857	ENSG00000169241
14	92703807	92748702	ENSG00000100600
19	50329653	50382982	ENSG00000131408
X	103075810	103093125	ENSG00000147206
1	9943428	9985501	ENSG00000173614
12	120725735	120740008	ENSG00000122971
7	142939343	142940868	ENSG00000165131
19	49474207	49486231	ENSG00000090554
2	215942805	216034096	ENSG00000118242
X	103062651	103064240	ENSG00000133169
7	130731235	130734176	ENSG00000266265
1	248508073	248527337	ENSG00000188558
1	248095184	248101103	ENSG00000196071
CHR_HSCHR6_MHC_MANN_CTG1	32895064	32900625	ENSG00000231823
14	92121937	92172145	ENSG00000165934
14	92116122	92121917	ENSG00000183648
12	120341330	120369180	ENSG00000135097
12	120302316	120313249	ENSG00000089163
1	155018520	155033781	ENSG00000163354
16	84819984	84920768	ENSG00000103196
1	155002630	155018522	ENSG00000160685
1	247416156	247449108	ENSG00000162711
1	246945547	247008093	ENSG00000197472
14	99971449	100144236	ENSG00000196405
1	186400572	186401455	ENSG00000262180
1	246540560	246566324	ENSG00000162851
12	66765	178460	ENSG00000120645
19	50152548	50163195	ENSG00000161652
6	33208495	33212722	ENSG00000204227
1	15756607	15786594	ENSG00000162458
19	41956879	41994232	ENSG00000285505
1	244652935	244709033	ENSG00000121644
12	8076939	8097859	ENSG00000089818
17	43398959	43401137	ENSG00000175906
14	73931501	73950414	ENSG00000156050
12	118981495	119163051	ENSG00000139767
12	131828393	131851783	ENSG00000198598
1	154548577	154559028	ENSG00000160714
14	73958010	74019399	ENSG00000187097
12	131711081	131799737	ENSG00000061936
1	74469878	74512614	ENSG00000162621
9	104535749	104536856	ENSG00000204246
8	66176382	66178725	ENSG00000147571
6	135851696	136195574	ENSG00000171408
CHR_HSCHR6_MHC_MANN_CTG1	32234228	32263476	ENSG00000232339
3	157259742	157533619	ENSG00000197415
CHR_HSCHR5_5_CTG1	614020	626253	ENSG00000280688
6	43427366	43450430	ENSG00000124574
1	9729026	9824526	ENSG00000171603
9	136850943	136860799	ENSG00000177943
19	41549518	41586844	ENSG00000007129
5	103258702	103278660	ENSG00000181751
12	77324641	78213008	ENSG00000067798
14	67727374	67816590	ENSG00000072121
19	4639518	4655568	ENSG00000185361
19	4641374	4670370	ENSG00000074842
1	46175486	46176478	ENSG00000250719
1	46043661	46176488	ENSG00000278139
1	109984686	110023741	ENSG00000168710
3	54918237	54967088	ENSG00000144771
19	58345178	58353499	ENSG00000121410
6	73413515	73452276	ENSG00000164430
1	101236865	101243713	ENSG00000170989
9	35104112	35116341	ENSG00000005238
14	73490964	73493392	ENSG00000170468
1	158461574	158470857	ENSG00000173285
7	6329409	6348981	ENSG00000178397
6	158765741	158819412	ENSG00000092820
4	121035613	121073021	ENSG00000173376
17	37084988	37406818	ENSG00000278540
12	109783085	109833401	ENSG00000111199
1	153990755	153992155	ENSG00000177954
19	58034032	58054631	ENSG00000152467
19	49869033	49878459	ENSG00000204673
CHR_HSCHR5_3_CTG1	1318299	1345099	ENSG00000274811
1	6264269	6394391	ENSG00000097021
22	50274979	50307627	ENSG00000196576
15	72241181	72272999	ENSG00000137817
9	136791355	136793257	ENSG00000244187
19	49859882	49878351	ENSG00000039650
6	89926529	90296908	ENSG00000112182
19	49948985	49961172	ENSG00000161640
1	158254137	158258269	ENSG00000158477
3	184371935	184381968	ENSG00000090534
8	100572882	100663415	ENSG00000174226
16	77788530	77980107	ENSG00000171724
5	176647387	176659054	ENSG00000048140
19	43827292	43852017	ENSG00000167637
5	36151989	36184319	ENSG00000145604
7	1530714	1543043	ENSG00000198517
19	41443158	41444765	ENSG00000204978
12	7649400	7665903	ENSG00000111701
19	23739195	23758891	ENSG00000196172
21	30642864	30643136	ENSG00000206104
1	9100305	9129170	ENSG00000180758
1	67701466	67833467	ENSG00000172380
1	68098473	68233120	ENSG00000116729
10	43138486	43185308	ENSG00000169826
CHR_HSCHR6_MHC_DBB_CTG1	31480101	31493317	ENSG00000224378
14	95686417	95692643	ENSG00000213231
20	36996349	37095995	ENSG00000080839
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54803541	54814525	ENSG00000274955
CHR_HSCHR6_MHC_SSTO_CTG1	30319231	30336806	ENSG00000239927
15	41284013	41380743	ENSG00000285920
CHR_HSCHR6_MHC_SSTO_CTG1	30316398	30333651	ENSG00000229929
9	130892702	130896812	ENSG00000188710
19	19385826	19508931	ENSG00000167491
19	52153864	52171643	ENSG00000196267
12	9594551	9607886	ENSG00000111796
11	67266410	67286556	ENSG00000173020
1	85018082	85048499	ENSG00000055732
15	40528683	40565057	ENSG00000128891
3	190852877	190892429	ENSG00000205835
14	31446036	31457510	ENSG00000129480
6	30720201	30725426	ENSG00000196230
1	118883046	118989556	ENSG00000092607
17	81395475	81466332	ENSG00000266074
12	96278261	96400560	ENSG00000059758
15	90352245	90369146	ENSG00000196391
2	27381194	27409687	ENSG00000115241
16	68021274	68023442	ENSG00000182810
12	95972662	95996365	ENSG00000084110
5	141412987	141512979	ENSG00000253846
12	25004342	25108334	ENSG00000118308
22	21207973	21227637	ENSG00000133475
1	205657851	205680459	ENSG00000158715
20	16272104	16573434	ENSG00000089177
5	141360042	141512979	ENSG00000253910
2	120013005	120179119	ENSG00000115109
2	112829751	112836903	ENSG00000125538
19	54189938	54194536	ENSG00000170892
12	10412312	10436001	ENSG00000255641
17	3860315	3894891	ENSG00000004660
19	38801671	38813364	ENSG00000171747
17	41500981	41505705	ENSG00000171401
7	44999475	45076469	ENSG00000136280
CHR_HSCHR6_MHC_COX_CTG1	30677910	30681283	ENSG00000235773
6	127519455	127591817	ENSG00000184530
15	66498015	66524532	ENSG00000174444
17	76142453	76240373	ENSG00000141576
6	112087599	112102790	ENSG00000203778
3	119821323	120094417	ENSG00000082701
